"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"7912","8666","ENSG00000130811","EIF3G",3390,3136,3102,2799,3272,3621
"1591","1786","ENSG00000130816","DNMT1",3625,3243,2308,2763,2619,2871
"8430","9294","ENSG00000267534","S1PR2",157,207,132,144,125,151
"38480","100422925","ENSG00000264266","MIR4322",7,1,5,0,0,3
"13123","51073","ENSG00000105364","MRPL4",1453,1534,1186,986,1140,1229
"3143","3383","ENSG00000090339","ICAM1",819,955,470,502,630,665
"3146","3386","ENSG00000105371","ICAM4",0,0,0,0,0,0
"6709","7087","ENSG00000105376","ICAM5",425,427,124,67,86,73
"31807","100125288","ENSG00000220201","ZGLP1",3,1,2,2,0,5
"19118","112812","ENSG00000267673","FDX2",4,0,0,6,1,4
"19875","125950","ENSG00000161847","RAVER1",1253,1221,885,1005,1087,1133
"3145","3385","ENSG00000076662","ICAM3",430,418,330,371,444,374
"6912","7297","ENSG00000105397","TYK2",1740,1829,1337,1478,1750,1950
"10166","11140","ENSG00000105401","CDC37",5434,5372,4268,4248,4941,5496
"4857","5141","ENSG00000065989","PDE4A",583,541,458,572,609,700
"8921","9817","ENSG00000079999","KEAP1",2177,2215,2046,2319,2604,2763
"13658","53637","ENSG00000180739","S1PR5",0,2,2,4,0,4
"18371","84971","ENSG00000130734","ATG4D",728,770,597,555,672,788
"53065","106479077","ENSG00000238364","RNU7-140P",0,0,0,0,0,0
"36256","100302226","ENSG00000221410","MIR1238",0,0,0,0,0,0
"16243","65095","ENSG00000129347","KRI1",518,483,276,350,418,458
"934","1032","ENSG00000129355","CDKN2D",462,413,373,356,499,640
"9138","10053","ENSG00000129354","AP1M2",2,0,0,0,0,4
"15273","57153","ENSG00000129353","SLC44A2",1594,1818,3637,3541,3356,3644
"20925","147727","ENSG00000267100","ILF3-DT",241,232,198,165,205,205
"3318","3609","ENSG00000129351","ILF3",7403,7223,5464,6022,6572,7350
"17618","81890","ENSG00000213339","QTRT1",581,625,523,510,549,617
"1590","1785","ENSG00000079805","DNM2",4396,4389,3490,3603,4179,4468
"30529","693223","ENSG00000207972","MIR638",0,0,0,0,0,0
"40189","100616425","ENSG00000265879","MIR4748",0,0,0,0,0,0
"27167","406976","ENSG00000207752","MIR199A1",0,0,0,0,0,0
"10040","11018","ENSG00000099203","TMED1",180,195,194,172,174,248
"22781","255809","ENSG00000214212","C19orf38",4,2,13,16,17,20
"64878","117751740","ENSG00000267544","HIKESHIP2",1,0,0,0,1,0
"9562","10498","ENSG00000142453","CARM1",2950,3039,2455,2400,2571,2889
"16314","78992","ENSG00000130733","YIPF2",1457,1600,1793,1718,2219,2558
"18678","90580","ENSG00000142444","TIMM29",458,405,356,346,324,503
"6210","6597","ENSG00000127616","SMARCA4",2418,2189,1420,2091,1839,2017
"3868","3949","ENSG00000130164","LDLR",6942,6837,4063,4383,4795,5314
"20943","147841","ENSG00000161888","SPC24",687,594,541,517,616,677
"11282","25959","ENSG00000197256","KANK2",4213,3897,4721,5108,5395,5701
"15491","57572","ENSG00000130158","DOCK6",1461,1554,927,998,952,1137
