"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACTL6A",850.553402480017,-0.711212515915921,0.110876365885728,-6.41446452753433,1.41318689804554e-10,1.42520996010859e-09
"SOX2-OT",6578.03332754026,1.57407023338959,0.0611385892303323,25.7459364569155,3.57952608805155e-146,1.02815003175265e-143
"SOX2",17711.4654700995,0.596938572296889,0.045307768168018,13.1751926089853,1.21915900154977e-39,5.01635229948963e-38
"B3GNT5",771.202612458868,-1.23294839680071,0.126423967795001,-9.75248932860547,1.79999350898049e-22,3.85720273316107e-21
"KLHL24",451.562832156747,1.16848814640232,0.158334632980045,7.37986455906704,1.58450638879278e-13,2.03492583172905e-12
"VWA5B2",64.8045175500542,2.31052810633067,0.419169221833658,5.51216068828539,3.54455078947284e-08,2.77470705406532e-07
"PSMD2",5401.91698319753,-0.767732368235993,0.0640167687186251,-11.9926760379055,3.88159163684672e-33,1.33583992368531e-31
"FAM131A",656.27142016148,-0.737744656950857,0.123057844083837,-5.99510467978168,2.03354406856273e-09,1.82639893012946e-08
"CLCN2",180.895754724743,-0.993240232058525,0.238349132967884,-4.1671652826711,3.08410884725663e-05,0.000158024870472127
"CHRD",223.94116386469,-0.61382739604112,0.202236119172385,-3.03520161756019,0.00240374939705625,0.00833389066723123
"EHHADH",162.896762863904,1.37686399058326,0.250795366082489,5.48998975575328,4.01957055272726e-08,3.13178433883852e-07
"IGF2BP2",1614.96654059296,-1.29055794410659,0.0985026486738344,-13.1017588002119,3.2171499671482e-39,1.30930114194347e-37
"DGKG",175.338332971273,-1.11066078827109,0.25270610228121,-4.39506912672473,1.10737508667067e-05,6.04965409455491e-05
"ST6GAL1",167.668737922495,-2.1299209214492,0.240402737909644,-8.85980309529477,8.01558896555182e-19,1.4424197203552e-17
"RTP4",30.5857226230248,1.87790873025987,0.574761731180132,3.26728212472331,0.00108585410939059,0.00410694276471458
"P3H2",223.35723161776,0.848996219993114,0.213615100972086,3.97442042313318,7.05508450831062e-05,0.000338934519833154
"FGF12",904.910355514289,0.792471381737312,0.122211070636169,6.4844484023592,8.90569947733932e-11,9.14824810134389e-10
"MB21D2",120.524690921879,-0.770197278905589,0.281873958486441,-2.73241729403193,0.00628714542677493,0.0194966036291216
"ATP13A3",2298.33397148932,-0.999678150917934,0.0729558856625524,-13.7025017493696,9.80855785903037e-43,4.48014128998403e-41
"FAM43A",865.702941862275,0.533519333149702,0.11648056566115,4.58032917441137,4.64244670687474e-06,2.69070950771754e-05
"XXYLT1",315.362055221558,0.529855278551539,0.170069515363257,3.11552177602084,0.00183619790580626,0.00656126493476502
"TNK2",586.753366277803,0.500536463573575,0.139759548854494,3.58141155775117,0.000341742826481022,0.00144474125568088
"NRROS",199.236544296982,-2.65986442618602,0.240097642390126,-11.0782613261321,1.59948396972531e-28,4.60306215256594e-27
"CEP19",195.311951648182,0.561248054527214,0.216013443989731,2.59820890848764,0.0093711461723539,0.0275743576103778
"IQCG",933.881225999525,-0.69158405841708,0.115875942646583,-5.96831441126985,2.39717103043045e-09,2.1337393629624e-08
"LMLN",631.695620618516,0.863697530371071,0.131561518893128,6.56497080329915,5.20430584908626e-11,5.47405015225017e-10
"MYL5",94.2395485489644,0.904933544766263,0.327524375934008,2.7629502145776,0.00572815028764519,0.0179738766168632
